geneSymbol,numVariantes
CPZ,7
UGT3A1,7
FNDC9,7
PARP12,7
CNTNAP2,7
PALM2AKAP2,7
ST5,7
ABCC8,7
DGKZ,7
SSH1,7
RYR3,7
SLC12A1,7
SLC5A10,7
TCEB3B,7
SBNO2,7
SUGP1,7
ZNF565,7
RBFOX2,7
SHROOM4,7
MAGEC1,7
B4GALNT4,7
CATSPERG,7
NR5A2,7
LMBRD2,7
ACSF3,7
INPP5K,7
HNRNPU,7
NUDT12,7
MKLN1,7
ENPP2,7
ABLIM1,7
OLFML1,7
PARP4,7
NRXN1,7
NKX3-2,7
CXorf36,7
POGZ,7
ZP4,7
CXCL2,7
C6orf195,7
REPS1,7
MAFK,7
CYFIP1,7
SNX18,7
ITSN2,7
PPFIBP1,7
TPH2,7
TMEM8A,7
CDV3,7
INPP4B,7
NCAM1,7
SNPH,7
CENPI,7
COL11A1,7
CHD1L,7
FCGR2A,7
CENPF,7
KIDINS220,7
LCLAT1,7
CDC42EP3,7
BOC,7
AC097381.1,7
HNRNPH1,7
BTN2A2,7
RNF217,7
COL28A1,7
UBXN2B,7
JRK,7
UNC5B,7
RP11-428P16.2,7
ORAOV1,7
TMPRSS4,7
CCDC84,7
SLC5A8,7
GPR97,7
TMEM231,7
NTN1,7
USP22,7
FCGRT,7
ZNF709,7
NHP2L1,7
KCNQ4,6
SETD5,6
OGDHL,6
MUC2,6
PC,6
ALPK3,6
PSMD11,6
LILRA3,6
UBAP2L,6
DNM3,6
MBOAT2,6
ZDBF2,6
EPHA3,6
NCEH1,6
PPP2R2C,6
PPARGC1B,6
PHTF2,6
CACNA1C,6
UNC13C,6
GRIN2A,6
ANKRD11,6
BLTP2,6
DSG3,6
LTN1,6
KRTAP10-6,6
SLC2A11,6
KIAA1671,6
LIFR,6
GTF3C4,6
BRI3BP,6
MPHOSPH8,6
MRC2,6
BRWD1,6
MYO18B,6
H6PD,6
ATAD2B,6
ACSL3,6
PCGF3,6
CSNK1G3,6
ARHGAP26,6
CDKAL1,6
LRRC16A,6
DOCK4,6
TRPS1,6
TLN2,6
SPN,6
PPP2R3A,6
NUP155,6
JARID2,6
PDE1C,6
PEG10,6
MTUS1,6
IFITM3,6
CUL5,6
SLC2A3,6
KRT74,6
TSPAN31,6
TRPM1,6
PKNOX1,6
CYP4A11,6
RPTN,6
OTOF,6
DNAH6,6
CD96,6
ENPEP,6
RICTOR,6
MSH5,6
TNRC18,6
VPS13A,6
GABBR2,6
TNKS1BP1,6
ATL3,6
SLC22A11,6
KRT8,6
PTPRQ,6
DNAH2,6
CRHR1,6
ZNF726,6
LILRA2,6
JPH2,6
PTCHD1,6
PKN2,6
COG5,6
ZFHX2,6
MEIS2,6
GTPBP6,6
PTCHD2,6
RAP1GAP,6
MARK1,6
PPP3CA,6
ENPP1,6
FMR1,6
CCNL2,6
PAIP2B,6
HNRNPUL2,6
ERBB3,6
ELMSAN1,6
THADA,6
SDHAP2,6
TACR3,6
DNAJC21,6
COL11A2,6
ZNF451,6
TMEM106B,6
CCDC136,6
PRDM14,6
MYOF,6
OLR1,6
RASSF3,6
RHPN2,6
GGT7,6
DIDO1,6
PCNT,6
TRMT2A,6
POLDIP3,6
XIST,6
DNMT3A,6
FMNL2,6
PRKRA,6
TMEM33,6
RUNX2,6
HIPK2,6
PALM2-AKAP2,6
TUBGCP2,6
NUMA1,6
KRTAP9-2,6
ZNF772,6
SKP2,6
HAUS6,6
GABRG3,6
ZNF774,6
NINL,6
TTC3,6
ANTXR2,6
HINFP,6
GPD2,6
N4BP2,6
MALAT1,6
CCND1,6
AK7,6
NEGR1,6
PARP9,6
C5orf60,6
GLB1L3,6
CLIP1,6
IL7R,6
FAM188B,6
ASB10,6
PTPRN2,6
NUDCD1,6
GRIA4,6
ADAD2,6
ZNF260,6
ZHX3,6
CHD5,6
AADACL3,6
PBXIP1,6
ANTXR1,6
TANC1,6
KLF7,6
PDZRN3,6
PPM1L,6
HTT,6
MSANTD1,6
CORIN,6
AC092661.1,6
TENM3,6
TRAPPC13,6
SYNPO,6
ADAM19,6
MDFI,6
ANKRD6,6
INTS1,6
ADCY1,6
GSAP,6
ANKIB1,6
FOXP2,6
KRBA1,6
AGAP3,6
KCNU1,6
VPS13B,6
ASAP1,6
FAM135B,6
TEK,6
